SKU,Description,total_qty,total_revenue,avg_price,n_transactions,cum_value,cum_perc,ABC
45524,Natura Valle Cab Svgn Cntrl,87,873.13,10.076956521739131,46,32139111.410000008,0.9698164533505305,C
10164,Andre Bourgogne Pnt Nr RSV,54,872.46,16.129534883720932,43,32139983.87000001,0.9698427803404742,C
4355,Sea Hagg Spiced Rum,35,872.15,24.84483870967742,31,32140856.020000007,0.9698690979759869,C
16990,Santa Cristina Antinori Wh,64,871.36,13.39,35,32141727.380000006,0.9698953917727883,C
585,1800 Reposado Gold Tequila,29,869.7099999999999,29.99,20,32142597.090000007,0.9699216357798762,C
1136,Malibu 50ml Sampler Pack,174,868.26,4.99,56,32143465.35000001,0.9699478360323674,C
90014,Ch Giscours Margaux 12,14,867.86,61.99,3,32144333.21000001,0.9699740242146251,C
1425,Granite Lightning Whiskey,31,867.6899999999999,27.99,21,32145200.90000001,0.9700002072670335,C
1390,Makers Mark,24,864.76,36.04263157894737,19,32146065.66000001,0.9700263019049812,C
43097,Merriam Jones Vyd Cab Franc,24,863.76,35.99,11,32146929.420000013,0.9700523663673448,C
5495,Ch Monet,54,863.46,15.99,36,32147792.880000014,0.9700784217770333,C
38103,Canyon Oaks Cab Svgn Cal,72,863.28,11.99,9,32148656.160000015,0.9701044717551166,C
22757,Black Opal Cshmre Cab/Merlot,87,863.13,9.884736842105264,57,32149519.290000014,0.9701305172068624,C
19360,Finca La Linda Cab Svgn,79,861.21,10.87888888888889,45,32150380.500000015,0.9701565047214871,C
290,Aberlour A'Bunadh Sngle Malt,13,859.87,74.99,6,32151240.370000016,0.9701824518008293,C
19443,Cave de Tain St Joseph Red,40,859.6,21.49,12,32152099.970000017,0.9702083907327638,C
16440,Banshee Cab Svgn Napa Vly,26,857.74,32.99,18,32152957.710000016,0.9702342735381122,C
23116,Patz & Hall Sonoma Cst Chard,26,857.74,32.99,13,32153815.450000014,0.9702601563434606,C
29434,Clos du Val Merlot Napa,27,856.73,31.49,14,32154672.180000015,0.9702860086714693,C
41070,Angeline Chard RRV,59,856.41,14.456666666666665,45,32155528.590000015,0.9703118513432911,C
3903,Skinnygirl Wh Cherry Vodka,59,854.9100000000001,14.49,32,32156383.500000015,0.9703376487517371,C
25163,Colavita Pnt Nr,171,853.29,4.99,26,32157236.790000014,0.9703633972757371,C
13567,Bila-Haut Cotes Roussillon,54,851.46,15.8025,32,32158088.250000015,0.9703890905784186,C
17990,Porta Vita Rosso,71,851.29,11.989999999999998,29,32158939.540000014,0.9704147787512507,C
3292,GlenDronach 1995,5,849.95,169.99,5,32159789.490000013,0.9704404264888005,C
23107,Duckhorn Howell Mtn Cab Svgn,5,849.95,169.99,4,32160639.440000013,0.9704660742263501,C
21012,Arcanum Toscana Rosso,10,849.9,84.99,7,32161489.34000001,0.9704917204551207,C
90012,Ch Malartic Lagravier 12 RG,17,849.83,49.99,7,32162339.17000001,0.9705173645716002,C
25162,D.des Senechaux CdP,17,849.83,49.99,5,32163189.000000007,0.9705430086880799,C
44529,Salmon Run Chard/Rsl,85,849.15,9.99,43,32164038.150000006,0.9705686322851624,C
3722,Finlandia Grapefruit Fusion,68,847.82,12.466190476190476,21,32164885.970000006,0.9705942157487184,C
24330,Ch Reserve de la Comtesse 12,18,845.82,46.99,6,32165731.790000007,0.9706197388611065,C
14538,Ch St Michel Brdx Superur,47,845.53,17.99,32,32166577.320000008,0.9706452532225754,C
21672,Peachy Canyon Westside Znfdl,47,845.53,17.99,34,32167422.85000001,0.9706707675840442,C
14704,Rex Goliath Free Range Red,140,844.6,6.066923076923077,78,32168267.45000001,0.9706962538822201,C
8446,Richards Wild Irish Rose Red,141,844.59,5.99,87,32169112.04000001,0.9707217398786401,C
778,Svedka Vodka,65,844.35,12.99,41,32169956.39000001,0.9707472186329199,C
2162,Djinn Spirits Gin,25,843.75,33.656666666666666,18,32170800.14000001,0.9707726792818493,C
