SKU,Description,total_qty,total_revenue,avg_price,n_transactions,annual_demand_units,unit_cost_est,order_cost_S,holding_cost_H,EOQ_units
4229,Bacardi Black,383,8996.17,23.56597173144876,283,2329.9166666666665,19.99,200.0,3.9979999999999998,483
2740,GlenDronach 15 Yr Scotch,100,8984.0,95.85363636363635,22,608.3333333333333,89.99,200.0,17.998,116
653,Dom de Canton Ginger Liqueur,253,8981.470000000001,35.530284360189576,211,1539.0833333333333,29.99,200.0,5.998,320
523,Castello Del Poggio Moscato,862,8977.380000000001,10.427662337662339,385,5243.833333333333,10.49,200.0,2.0980000000000003,1000
4370,Ron Virgin White,690,8963.1,12.98078341013825,217,4197.5,12.99,200.0,2.5980000000000003,804
8515,Baileys Chocolate Cherry,424,8957.76,21.224527687296415,307,2579.333333333333,19.99,200.0,3.9979999999999998,508
41537,Mer Soleil Chard Central Cst,320,8955.92,27.98686956521739,115,1946.6666666666665,27.99,200.0,5.598,373
2136,Elijah Craig 12 Yr Bourbon,308,8928.92,28.989999999999995,195,1873.6666666666665,27.99,200.0,5.598,366
3608,Smirnoff Orange Vodka,9019,8928.81,0.99,1682,54865.58333333333,0.99,200.0,0.198,10528
5750,Malibu Rum Traveler,685,8898.15,12.99,444,4167.083333333333,11.99,200.0,2.398,834
44037,Barefoot Pnt Grigio Cal,1467,8871.23,6.13043321299639,554,8924.25,6.29,200.0,1.258,1685
5952,Jagermeister Liqueur,4446,8847.539999999999,1.99,1352,27046.5,1.99,200.0,0.398,5214
3820,Smirnoff Citrus Vodka,404,8837.96,21.93155844155844,308,2457.6666666666665,22.99,200.0,4.598,462
8040,Bols Blue Curacao,910,8816.9,9.687297297297297,555,5535.833333333333,7.99,200.0,1.598,1177
23229,Ch St Jean Belle Terre Chard,587,8799.13,14.989999999999998,289,3570.9166666666665,14.99,200.0,2.998,690
2679,Dewars Highlander Honey,440,8795.599999999999,19.99,310,2676.6666666666665,22.99,200.0,4.598,483
35666,Redwood Creek Chard Cal,880,8791.2,9.99,438,5353.333333333333,9.99,200.0,1.9980000000000002,1035
5142,Carolans Irish Cream,377,8787.23,23.339514563106796,309,2293.4166666666665,26.49,200.0,5.298,416
438,Licor 43 Vanilla Liqueur,471,8786.289999999999,18.717272727272725,308,2865.25,19.99,200.0,3.9979999999999998,535
